,Main Category,Child Category,GrandChild Category,Prompt,Translate
1330,Lighting,Types of Lights,,Spotlight,聚光灯
1331,Lighting,Types of Lights,,Floodlight,泛光灯
1332,Lighting,Types of Lights,,Frontlight,前灯
1333,Lighting,Types of Lights,,Halfrear Lighting,半瑞尔照明
1334,Lighting,Types of Lights,,Backlight,背光
1335,Lighting,Types of Lights,,Rim Lights,轮辋灯
1336,Lighting,Types of Lights,,Rim Lighting,轮辋照明
1337,Lighting,Types of Lights,,Marquee,马奎斯
1338,Lighting,Types of Lights,,Strobe,频闪
1339,Lighting,Types of Lights,,Strobe Light,频闪灯
1340,Lighting,Types of Lights,,Stroboscope,频闪仪
1341,Lighting,Types of Lights,,Flickering Light,闪烁的光
1342,Lighting,Types of Lights,,Bubble Light,泡沫灯
1343,Lighting,Types of Lights,,Dim,点状
1344,Lighting,Types of Lights,,Dim Lighting,昏暗的灯光
1345,Lighting,Types of Lights,,Dark Lighting,黑暗照明
1346,Lighting,Types of Lights,,Ultrabright,超亮
1347,Lighting,Types of Lights,,Blinding Light,耀眼的光芒
1348,Lighting,Types of Lights,,Crepuscular Rays,白昼的光线
1349,Lighting,Types of Lights,,Rays of Shimmering Light,闪烁的光芒
1350,Lighting,Types of Lights,,Artificial Lighting,人工照明
1351,Lighting,Types of Lights,,Natural Lighting,自然照明
1352,Lighting,Types of Lights,,Sunlight,阳光
1353,Lighting,Types of Lights,,Direct Sunlight,阳光直接照射
1354,Lighting,Types of Lights,,Sunshine Ray,阳光之光
1355,Lighting,Types of Lights,,Sunbeams,日光之光
1356,Lighting,Types of Lights,,Moonbeams,月光
1357,Lighting,Types of Lights,,Starlight,星光大道
1358,Lighting,Types of Lights,,Fluorescent Lamp,荧光灯
1359,Lighting,Types of Lights,,CFL,CFL
1360,Lighting,Types of Lights,,CFL Light,CFL灯
1361,Lighting,Types of Lights,,Candlelight,烛光
1362,Lighting,Types of Lights,,Torch,火炬
1363,Lighting,Types of Lights,,Torch Light,火炬灯
1364,Lighting,Types of Lights,,Northern Lights,北极光
1365,Lighting,Types of Lights,,Plasma Globe,等离子球
1366,Lighting,Types of Lights,,Plasma Lamp,等离子灯
1367,Lighting,Types of Lights,,Lava Lamp,熔岩灯
1368,Lighting,Types of Lights,,Tesla Coil,特斯拉线圈
1369,Lighting,Types of Lights,,Electric Arc,电弧
1370,Lighting,Types of Lights,,Crackle Tube,裂纹管
1371,Lighting,Types of Lights,,Glow Stick,荧光棒
1372,Lighting,Types of Lights,,Laser,激光
1373,Lighting,Types of Lights,,Blacklight,黑灯瞎火
1374,Lighting,Types of Lights,,Gobo,Gobo
1375,Lighting,Types of Lights,,Gobo Light,图案灯
1376,Lighting,Types of Lights,,Halogen,卤素
1377,Lighting,Types of Lights,,Halogen Lamp,卤素灯
1378,Lighting,Types of Lights,,Xenon Lamp,氙气灯
1379,Lighting,Types of Lights,,Krypton Lamp,氪金灯
