,Main Category,Child Category,GrandChild Category,Prompt,Translate
818,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Sketch,素描
819,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Drawing,绘图
820,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Drawn,绘制
821,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Written,书面
822,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,s Drawing,s 绘图
823,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Masterpiece,杰作
824,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Dot Art,点艺术
825,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Pointillism,点彩主义
826,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Stipple,波纹
827,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Line Art,线条艺术
828,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Crosshatch,交叉阴影
829,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Figure Drawing,图形绘制
830,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Caricature,漫画
831,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Illustration,插图
832,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Storybook Illustration,故事书插图
833,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Whimsical Illustration,异想天开的插图
834,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Assembly Drawing,装配图
835,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Anatomical Drawing,解剖学绘图
836,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Illuminated Manuscript,照明手稿
837,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Visual Novel,视觉小说
838,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Graphic Novel,图形小说
839,Drawing_and_Art_Mediums,Illustration and Drawing,Drawing Types,Cartographic,地图学
840,Drawing_and_Art_Mediums,Illustration and Drawing,Pencil and Graphite,Pencil Art,铅笔艺术
841,Drawing_and_Art_Mediums,Illustration and Drawing,Pencil and Graphite,Graphite,石墨
842,Drawing_and_Art_Mediums,Illustration and Drawing,Pencil and Graphite,Charcoal Art,木炭艺术
843,Drawing_and_Art_Mediums,Illustration and Drawing,Pencil and Graphite,Colored Pencil,彩色铅笔
844,Drawing_and_Art_Mediums,Illustration and Drawing,Pencil and Graphite,Grease Pencil,油脂铅笔
845,Drawing_and_Art_Mediums,Illustration and Drawing,Ink,Ink,墨水
846,Drawing_and_Art_Mediums,Illustration and Drawing,Ink,Calligraphy,书法
847,Drawing_and_Art_Mediums,Illustration and Drawing,Ink,Ballpoint Pen,圆珠笔
848,Drawing_and_Art_Mediums,Illustration and Drawing,Ink,Fountain Pen,钢笔
849,Drawing_and_Art_Mediums,Illustration and Drawing,Ink,Fountain Pen Art,钢笔艺术
850,Drawing_and_Art_Mediums,Illustration and Drawing,Ink,Gel Pen,凝胶笔
