,Main Category,Child Category,GrandChild Category,Prompt,Translate
0,Artists,Realism,,Painting By Ivan Shishkin,伊万-希什金
1,Artists,Realism,,Painting By Zdzislaw Beksinski,兹吉斯拉夫-贝克辛斯基
2,Artists,Realism,,Art by James Gurney,James Gurney
3,Artists,Realism,,Painting By Claude Lorrain,克劳德-洛兰
4,Artists,Realism,,Painting By Edward Hopper,爱德华-霍珀
5,Artists,Realism,,Painted By Adolph Menzel,阿道夫-门泽尔
6,Artists,Realism,,Painted By Alexei Savrasov,阿列克谢-萨夫拉索夫
7,Artists,Realism,,Painted By Andrew Wyeth,安德鲁-怀斯
8,Artists,Realism,,Painting By Vilhelm Hammershoi,Vilhelm Hammershoi
9,Artists,Surrealism,,Painting By Salvador Dali,萨尔瓦多-达利
10,Artists,Surrealism,,Painting By Pablo Picasso,巴勃罗-毕加索
11,Artists,Surrealism,,Painted By Andre Masson,Andre Masson
12,Artists,Surrealism,,Painting By Max Ernst,马克斯-恩斯特
13,Artists,Surrealism,,Painting By Rene Magritte,马格利特
14,Artists,Surrealism,,Art By Jim Burns,吉姆-伯恩斯
15,Artists,Surrealism,,Art by Vincent Di Fate,Vincent Di Fate
16,Artists,Idealism,,Painting By Jean Delville,让-德尔维尔
17,Artists,Abstract,,Painting By Wassily Kandinsky,瓦西里-康定斯基
18,Artists,Abstract,,Painting By Marcia Santore,马西娅-桑多勒
19,Artists,Modernism,,Painting By Kandinksey,Kandinksey
20,Artists,Modernism,,Painting by Paul Cezane,保罗-塞扎内
21,Artists,Modernism,,Painted By Lawrence Pelton,劳伦斯-佩尔顿
22,Artists,Modernism,,Painted By Amanda Sage,阿曼达-塞奇
23,Artists,Modernism,,Painted By Amedeo Modigliani,阿梅迪奥-莫迪里阿尼
24,Artists,Modernism,,Art by Henry Moore,亨利-摩尔
25,Artists,Post-Impressionism,,Painting By Van Gogh,梵高
26,Artists,Art Nouveau,,Painting By Wes Anderson,韦斯-安德森
27,Artists,Art Nouveau,,Painting By Art By Gustav Klimt,古斯塔夫-克里姆特
28,Artists,Art Nouveau,,Painted By Alphonso Mucha,阿方索-穆夏
29,Artists,Luminism,,Painting By Albert Bierstadt,阿尔伯特-比尔斯塔特
30,Artists,Luminism,,Painting By Thomas Kinkade,托马斯-金凯德
31,Artists,Expressionism,,Painted By Affadi,阿法迪
32,Artists,Expressionism,,Painted By Alexej Von Jawlensky,Alexej Von Jawlensky
33,Artists,Expressionism,,Painted By Alice Neel,Alice Neel
34,Artists,Expressionism,,Painted By Alyssa Monks,Alyssa Monks
35,Artists,Expressionism,,Painted By Alfred Kubin,阿尔弗雷德-库宾
36,Artists,Futurism,,Painting By David Alabo,David Alabo
37,Artists,Gothic,,Painted By Anne Stokes,安妮-斯托克斯
38,Artists,Gothic,,Painting By Gerald Brom,杰拉尔德-布罗姆
39,Artists,Gothic,,Painting By Grant Wood,格兰特-伍德
40,Artists,Gothic,,Painted By Albrecht Durer,阿尔布雷希特-杜勒
41,Artists,Psychedelic,,Painting By Alex Grey,亚历克斯-格雷
42,Artists,Psychedelic,,Painting By Dan Mumford,丹-芒福德
43,Artists,Pop Art,,Painted By Andy Worhol,安迪-沃霍尔
44,Artists,Pop Art,,Painting By David Hockney,大卫-霍克尼
45,Artists,Concept Art,,Painting By Marc Simonetti,马克-西蒙内蒂
46,Artists,Concept Art,,Painted By Alan Lee,艾伦-李
47,Artists,Romanticism,,Painting By John Constable,约翰-康斯特布尔
48,Artists,Renaissance,,Painting By Hieronymus Bosch,希罗尼穆斯-博斯
49,Artists,Vedute Painting Style,,Painting By Canaletto,卡纳莱托
50,Artists,Baroque,,Painted By Annibale Carracci,安尼贝尔-卡拉奇
51,Artists,Baroque,,Painted By Anthony Van Dyck,安东尼-凡-戴克
52,Artists,Dadaism,,Painting By Robert Rauschenberg,罗伯特-劳申伯
53,Artists,Dadaism,,Art By Man Ray,曼雷
54,Artists,Dadaism,,Painting By Morton Livingston Schamberg,莫顿-利文斯顿-沙姆伯格
55,Artists,Dadaism,,Art By Marcel Duchamp,马塞尔-杜尚
56,Artists,Dadaism,,Art By Suzanne Duchamp,苏珊娜-杜尚
57,Artists,Dadaism,,Painting By Francis Picabia,弗朗西斯-皮卡比亚
58,Artists,Dadaism,,Dessaignes,德赛格纳
59,Artists,Dadaism,,Painting By Juliette Roche,朱丽叶-罗什
60,Artists,Dadaism,,Art By Max Ernst,马克斯-恩斯特
61,Artists,Dadaism,,Art By Wilhelm Fick,威廉-菲克
62,Artists,Dadaism,,Art By George Grosz,乔治-格罗兹
63,Artists,Dadaism,,Art By Hannah Hoch,Hannah Hoch
64,Artists,Dadaism,,Art By Kurt Schwitters,库尔特-施维特斯
65,Artists,Dadaism,,Painting By Julius Evola,朱利叶斯-埃沃拉
66,Artists,Dadaism,,Painting By Serge Charchoune,Serge Charchoune
